                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.0805,                0.63209,                0.96225,                0.79021,                0.93353,                0.92698,                0.50097,                  1.482,                 0.9014,                 1.3908,             0.00063676,             0.00063676,             0.00063676
                     59,                 1.0709,                0.63931,                0.96019,                0.84805,                0.85376,                0.92166,                0.51623,                 1.3949,                0.96587,                 1.3233,             0.00062262,             0.00062262,             0.00062262
                     60,                 1.0267,                0.62301,                0.99906,                0.95867,                0.83644,                0.93105,                 0.5241,                 1.4207,                0.88199,                 1.3536,             0.00060847,             0.00060847,             0.00060847
                     61,                 1.0032,                0.60492,                0.98558,                0.87861,                 0.9094,                0.93515,                0.52924,                 1.2663,                0.83706,                 1.2352,             0.00059432,             0.00059432,             0.00059432
                     62,                 1.0796,                0.64577,                0.96896,                0.89873,                0.86546,                 0.9197,                0.48537,                 1.2834,                0.82215,                 1.2643,             0.00058017,             0.00058017,             0.00058017
                     63,                0.99455,                0.60741,                0.94708,                0.89753,                0.87368,                0.93461,                0.53061,                 1.3881,                0.84192,                 1.2507,             0.00056603,             0.00056603,             0.00056603
                     64,                  1.049,                0.63682,                0.97772,                0.94013,                0.80223,                0.92471,                0.51782,                 1.4671,                0.83504,                 1.2733,             0.00055188,             0.00055188,             0.00055188
                     65,                 1.0364,                0.61202,                0.97478,                0.90137,                0.83069,                0.90506,                0.50399,                  1.251,                 0.7882,                 1.2405,             0.00053773,             0.00053773,             0.00053773
                     66,                 1.0458,                0.62744,                 1.0054,                0.90766,                0.84615,                0.90484,                0.53316,                 1.1407,                0.73814,                 1.1468,             0.00052359,             0.00052359,             0.00052359
                     67,                 1.0082,                0.63853,                0.97491,                0.93126,                0.82126,                0.89361,                0.53313,                 1.1783,                0.76554,                  1.168,             0.00050944,             0.00050944,             0.00050944
                     68,                 1.0026,                 0.5973,                0.95788,                0.92198,                0.83348,                 0.9165,                 0.5494,                 1.2588,                0.77674,                 1.2371,             0.00049529,             0.00049529,             0.00049529
                     69,                 1.0391,                0.61566,                0.95671,                0.94867,                 0.8138,                0.91552,                0.54367,                 1.1752,                0.76197,                 1.1968,             0.00048114,             0.00048114,             0.00048114
                     70,                0.97096,                0.57954,                0.96703,                0.90799,                0.80395,                0.91991,                0.54436,                 1.3368,                0.80467,                 1.2536,               0.000467,               0.000467,               0.000467
                     71,                0.94341,                0.56312,                0.95233,                0.83952,                0.88238,                0.92337,                0.52225,                 1.2961,                 0.7318,                 1.2615,             0.00045285,             0.00045285,             0.00045285
                     72,                 1.0045,                0.61184,                0.97735,                0.89063,                0.87272,                 0.9257,                0.51401,                 1.3231,                 0.7562,                 1.2858,              0.0004387,              0.0004387,              0.0004387
                     73,                 0.9952,                0.64716,                0.96592,                0.85618,                0.89055,                0.90987,                0.54024,                 1.3518,                0.70595,                 1.3554,             0.00042456,             0.00042456,             0.00042456
                     74,                0.96095,                0.58965,                0.96945,                0.97638,                0.82311,                0.92345,                 0.5309,                 1.3543,                0.74465,                 1.3046,             0.00041041,             0.00041041,             0.00041041
                     75,                0.94529,                0.57287,                0.96486,                0.83514,                0.90682,                0.93725,                0.53484,                 1.2916,                0.75264,                 1.2329,             0.00039626,             0.00039626,             0.00039626
                     76,                0.99153,                0.57391,                0.96469,                0.82913,                0.87928,                0.92879,                0.54146,                 1.3108,                0.75593,                 1.2408,             0.00038211,             0.00038211,             0.00038211
                     77,                0.94167,                0.56042,                0.94718,                 0.8474,                0.92754,                0.92236,                 0.5238,                 1.3471,                0.75577,                 1.2761,             0.00036797,             0.00036797,             0.00036797
                     78,                0.97256,                 0.6092,                0.98908,                  0.948,                0.82619,                0.92167,                0.51614,                 1.3565,                0.67797,                 1.2914,             0.00035382,             0.00035382,             0.00035382
                     79,                0.85955,                0.52849,                0.87999,                0.84816,                0.91304,                0.91574,                0.53216,                 1.1697,                0.70079,                 1.2472,             0.00033967,             0.00033967,             0.00033967
                     80,                0.89821,                0.53506,                0.92619,                0.92723,                0.78486,                0.90911,                0.55098,                 1.1514,                0.67395,                 1.2192,             0.00032553,             0.00032553,             0.00032553
                     81,                0.92559,                0.55552,                0.92129,                0.91467,                0.77433,                0.89326,                0.52192,                 1.2203,                0.73724,                 1.2005,             0.00031138,             0.00031138,             0.00031138
                     82,                0.87534,                0.52324,                0.93897,                0.84279,                0.84319,                0.89981,                0.52964,                 1.3198,                0.77058,                 1.2571,             0.00029723,             0.00029723,             0.00029723
                     83,                0.85096,                0.52662,                0.91297,                0.80619,                0.93564,                0.92523,                0.53684,                 1.2631,                0.71669,                 1.2309,             0.00028308,             0.00028308,             0.00028308
                     84,                0.91556,                0.55288,                0.94982,                0.81493,                 0.9098,                0.92136,                 0.5293,                 1.3368,                0.73715,                 1.2418,             0.00026894,             0.00026894,             0.00026894
                     85,                0.84487,                0.52181,                  0.925,                0.78233,                0.90191,                0.91341,                0.51337,                 1.3766,                0.74301,                 1.2611,             0.00025479,             0.00025479,             0.00025479
                     86,                0.81813,                0.50698,                0.87581,                0.83812,                0.90846,                0.91198,                0.52075,                 1.2744,                 0.7111,                 1.2428,             0.00024064,             0.00024064,             0.00024064
                     87,                 0.9389,                0.53324,                0.95381,                0.84031,                0.89855,                0.90379,                 0.5124,                 1.2199,                0.68877,                 1.2445,              0.0002265,              0.0002265,              0.0002265
                     88,                0.89363,                0.55064,                0.91172,                0.92677,                0.82874,                0.91157,                 0.5156,                 1.2792,                0.74549,                 1.2754,             0.00021235,             0.00021235,             0.00021235
                     89,                0.91245,                0.54076,                0.93112,                0.90458,                0.89522,                0.92374,                0.53436,                  1.273,                0.74137,                   1.28,              0.0001982,              0.0001982,              0.0001982
                     90,                0.83944,                0.51423,                0.92374,                0.86957,                0.91103,                0.92299,                0.54425,                 1.2535,                0.77096,                 1.2517,             0.00018406,             0.00018406,             0.00018406
                     91,                 0.8097,                0.47834,                0.92736,                0.88029,                0.86079,                 0.9232,                0.53074,                 1.1723,                0.72267,                 1.2189,             0.00016991,             0.00016991,             0.00016991
                     92,                0.79048,                 0.4879,                0.89919,                0.88266,                0.86272,                0.92211,                 0.5277,                 1.2096,                0.73933,                 1.2224,             0.00015576,             0.00015576,             0.00015576
                     93,                0.80558,                0.47377,                0.90649,                 0.8897,                0.85157,                0.92318,                0.53895,                 1.3511,                0.75013,                 1.2657,             0.00014161,             0.00014161,             0.00014161
                     94,                0.75098,                0.45034,                0.90896,                0.90861,                0.85433,                 0.9207,                0.53795,                 1.2955,                0.74816,                 1.2824,             0.00012747,             0.00012747,             0.00012747
                     95,                0.83753,                0.48265,                0.89916,                0.88597,                0.86347,                0.91733,                0.54323,                 1.2444,                0.72016,                  1.257,             0.00011332,             0.00011332,             0.00011332
                     96,                0.73754,                0.43405,                0.87273,                0.86365,                0.86453,                0.91834,                0.52942,                 1.2736,                0.74496,                 1.2508,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.78279,                0.45649,                0.89716,                0.92504,                0.85211,                0.92127,                 0.5318,                 1.2309,                0.73495,                 1.2555,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.82434,                0.45401,                0.90838,                0.92496,                 0.8539,                0.92262,                0.54303,                 1.1904,                0.72843,                 1.2664,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.74834,                0.42638,                0.89914,                0.92525,                0.85337,                 0.9234,                0.53637,                 1.1804,                0.73385,                 1.2562,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.75696,                0.43659,                0.88913,                0.92511,                0.85293,                0.91662,                0.52725,                 1.1929,                0.72766,                 1.2619,             4.2584e-05,             4.2584e-05,             4.2584e-05
